,Email,Age,Education,Marital-status,Gender,Income
0,DavidLewis@gmail.com,25,11th,Never-married,Male,<=50k
1,FranciscoMarkland@gmail.com,38,HS-grad,Married-civ-spouse,Male,<=50k
2,DustinBushey@gmail.com,28,Assoc-acdm,Married-civ-spouse,Male,>50k
3,DonaldCraft@gmail.com,44,Some-college,Married-civ-spouse,Male,>50k
5,BradleyFarley@gmail.com,34,10th,Never-married,Male,<=50k
7,MatthewLuke@gmail.com,63,Prof-school,Married-civ-spouse,Male,>50k
8,SherrySherwood@gmail.com,24,Some-college,Never-married,Female,<=50k
9,PaulMerlo@gmail.com,55,7th-8th,Married-civ-spouse,Male,<=50k
10,ChristopherLoudermilk@gmail.com,65,HS-grad,Married-civ-spouse,Male,>50k
11,JamesHudec@gmail.com,36,Bachelors,Married-civ-spouse,Male,<=50k
12,ClaireHernandez@gmail.com,26,HS-grad,Never-married,Female,<=50k
14,JohnDenn@gmail.com,48,HS-grad,Married-civ-spouse,Male,>50k
15,AnthonySmith@gmail.com,43,Masters,Married-civ-spouse,Male,>50k
16,PaulAguilar@gmail.com,20,Some-college,Never-married,Male,<=50k
17,MarshaHarper@gmail.com,43,HS-grad,Married-civ-spouse,Female,<=50k
18,JanicePickens@gmail.com,37,HS-grad,Widowed,Female,<=50k
20,RichardMinvielle@gmail.com,34,Bachelors,Married-civ-spouse,Male,>50k
21,BrindaLayfield@gmail.com,34,Some-college,Never-married,Female,<=50k
23,OscarRay@gmail.com,25,Bachelors,Never-married,Male,<=50k
24,JohnKeller@gmail.com,25,Bachelors,Married-civ-spouse,Male,<=50k
25,KeithBoren@gmail.com,45,HS-grad,Married-civ-spouse,Male,>50k
26,JoshuaStaggs@gmail.com,22,HS-grad,Never-married,Male,<=50k
27,ChrisRohde@gmail.com,23,HS-grad,Separated,Male,<=50k
28,GaryWells@gmail.com,54,HS-grad,Married-civ-spouse,Male,<=50k
29,AlanPosey@gmail.com,32,Some-college,Never-married,Male,<=50k
30,CarlHuggins@gmail.com,46,Some-college,Married-civ-spouse,Male,>50k
31,TracyVanhoose@gmail.com,56,11th,Widowed,Female,<=50k
32,AlfonzoBursey@gmail.com,24,Bachelors,Never-married,Male,<=50k
33,JohnGalloway@gmail.com,23,Some-college,Married-civ-spouse,Male,<=50k
34,HayleyWatson@gmail.com,26,HS-grad,Divorced,Female,<=50k
36,GregoryWalton@gmail.com,36,Bachelors,Married-civ-spouse,Male,>50k
37,MaxwellRojas@gmail.com,22,5th-6th,Never-married,Male,<=50k
38,JoseBays@gmail.com,17,10th,Never-married,Male,<=50k
39,RobertPierce@gmail.com,20,HS-grad,Never-married,Male,<=50k
40,PeterCunningham@gmail.com,65,Masters,Married-civ-spouse,Male,>50k
41,MiguelDavis@gmail.com,44,Assoc-voc,Married-civ-spouse,Male,>50k
42,ChristopherThompson@gmail.com,36,HS-grad,Married-civ-spouse,Male,<=50k
43,StephenSandate@gmail.com,29,11th,Married-civ-spouse,Male,<=50k
44,DarrellLewis@gmail.com,20,Some-college,Never-married,Male,<=50k
45,DonnaLyon@gmail.com,28,Assoc-voc,Married-civ-spouse,Female,>50k
46,LawrenceIrvine@gmail.com,39,7th-8th,Married-civ-spouse,Male,<=50k
47,PaulPotolsky@gmail.com,54,Some-college,Married-civ-spouse,Male,<=50k
48,ClareLewis@gmail.com,52,11th,Separated,Female,<=50k
49,NancyCastillo@gmail.com,56,HS-grad,Widowed,Female,<=50k
50,ClydeFrazier@gmail.com,18,Some-college,Never-married,Male,<=50k
51,RobertFortin@gmail.com,39,HS-grad,Divorced,Male,<=50k
52,JillStephens@gmail.com,21,Some-college,Never-married,Female,<=50k
53,PeterHill@gmail.com,22,HS-grad,Never-married,Male,>50k
54,ThomasSanders@gmail.com,38,9th,Married-spouse-absent,Male,<=50k
55,LorraineBarnes@gmail.com,21,Some-college,Never-married,Female,<=50k
